beds,baths,area,price,county
2.0,2.0,131.54960981047938,2130000, The Greens
2.0,2.0,100.33444816053512,1230000, Jumeirah Lake Towers (JLT)
0.6,1.0,49.238201412114456,750000, Business Bay
2.0,3.0,148.8294314381271,2698698, DIFC
2.0,3.0,124.76774433296173,900000, Jumeirah Village Circle (JVC)
6.0,6.0,769.7881828316612,12400000, Dubai Hills Estate
0.6,1.0,34.74544778892605,570000, Arjan
3.0,4.0,308.80713489409146,3050000, Arabian Ranches
4.0,4.0,271.27461910070605,2500000, Dubai Marina
1.0,2.0,83.61204013377927,2985000, Palm Jumeirah
3.0,4.0,180.13749535488668,1104090, Dubai Silicon Oasis
2.0,2.0,118.26458565589002,875000, Jumeirah Lake Towers (JLT)
3.0,4.0,260.12634708286885,2490000, DAMAC Hills (Akoya by DAMAC)
2.0,2.0,122.07357859531773,1200000, Jumeirah Lake Towers (JLT)
5.0,5.0,640.0037160906727,9585888, Dubai Hills Estate
2.0,3.0,135.91601635079897,1599999, Culture Village
1.0,2.0,74.7863247863248,780000, Jumeirah Lake Towers (JLT)
2.0,3.0,143.99851356373097,1350000, Barsha Heights (Tecom)
4.0,6.0,372.5380899293943,4400000, Jumeirah Golf Estate
1.0,2.0,83.33333333333334,1000000, Business Bay
3.0,3.0,172.79821627647715,2000000, Business Bay
3.0,3.0,179.6729840208101,1331888, Arabian Ranches 3
0.6,1.0,44.871794871794876,544000, Al Furjan
3.0,3.0,159.88480118914902,1000000, Akoya Oxygen
2.0,2.0,242.6607209215905,2900000, Al Barari
0.6,1.0,56.76328502415459,369000, Al Quoz
2.0,3.0,182.64585655890005,1900000, Business Bay
1.0,2.0,73.0211817168339,600000, Dubai Marina
2.0,2.0,83.79784466740989,850000, Jumeirah Golf Estate
5.0,7.0,482.627276105537,4999999, DAMAC Hills (Akoya by DAMAC)
3.0,4.0,351.35637309550356,9000000, Culture Village
2.0,3.0,89.55778520995914,999000, Dubai South
4.0,4.0,368.8219992567819,4200000, The Meadows
1.0,2.0,88.16425120772948,790000, DAMAC Hills (Akoya by DAMAC)
3.0,3.0,282.14418431809736,4789650, Jumeirah Lake Towers (JLT)
1.0,2.0,60.572277963582316,459999, Dubailand
1.0,2.0,88.25715347454478,360000, International City
2.0,3.0,111.48272017837236,2320000, Jumeirah Beach Residence (JBR)
0.6,1.0,41.80602006688964,350000, Dubai Sports City
5.0,6.0,600.6131549609811,9000000, Jumeirah Islands
0.6,1.0,44.221479004087705,783750, DAMAC Hills (Akoya by DAMAC)
2.0,2.0,141.86176142697883,1059000, Mirdif
2.0,3.0,122.81679672984022,730000, International City
1.0,2.0,87.32813080639168,588000, Dubai Sports City
3.0,3.0,167.22408026755855,1450000, Dubai Marina
4.0,5.0,332.4043106651803,3850000, The Meadows
4.0,5.0,306.577480490524,1850000, Al Furjan
1.0,2.0,78.96692679301376,425000, Dubai World Central
3.0,4.0,250.8361204013378,1645000, The Springs
2.0,2.0,179.85878855444074,1650000, Dubai Marina
2.0,3.0,126.06837606837608,1300000, Al Furjan
2.0,2.0,175.49238201412115,1700000, Arabian Ranches
3.0,3.0,158.21256038647343,999999, Akoya Oxygen
4.0,6.0,440.54254923820145,6800000, The Lakes
0.6,1.0,43.47826086956522,475000, Jumeirah Village Circle (JVC)
6.0,7.0,1635.3586027499073,23000000, Al Barari
0.6,1.0,36.603493125232255,385000, Arjan
0.6,1.0,59.45745076179859,750000, Business Bay
3.0,3.0,604.2363433667782,3300000, The Meadows
1.0,2.0,107.58082497212932,1700000, Palm Jumeirah
2.0,2.0,197.41731698253437,1950000, Jumeirah Heights
3.0,4.0,239.50204384986995,2300000, DAMAC Hills (Akoya by DAMAC)
2.0,2.0,139.16759568933483,850000, Remraam
3.0,3.0,164.90152359717578,1400000, Al Furjan
1.0,2.0,87.14232627276107,1159510, Jumeirah
2.0,2.0,252.04384986993685,1936000, Downtown Jebel Ali
4.0,5.0,390.18952062430327,2700000, Green Community
5.0,6.0,505.38833147528806,4700000, Jumeirah Village Circle (JVC)
1.0,2.0,93.27387588257155,2350000, Palm Jumeirah
2.0,3.0,120.77294685990339,850000, Jumeirah Village Circle (JVC)
3.0,4.0,366.96395392047566,3700000, Al Furjan
0.6,1.0,37.71832032701598,490000, DAMAC Hills (Akoya by DAMAC)
