Address,Area,Rooms,Bathrooms,Garage Cars,Price
"Rua de Riachão - Suíssa, Aracaju - SE",174,3,1,"
                  --
                ","
190121
"
"Rua Firmino Fontes - Atalaia, Aracaju - SE",120,3,3,"
                  2
                ","
393000
"
"Avenida José Vicente de Almeida, 150 - Aruana, Aracaju - SE",280,4,3,"
                  4
                ","
898000
"
"Avenida Hermes Fontes - Suíssa, Aracaju - SE",60,2,3,"
                  1
                ","
220017
"
"Avenida Silvério Leite Fontes, 10 - Aruana, Aracaju - SE",200,4,1,"
                  2
                ","
345000
"
"Rua Alagoas - José Conrado de Araújo, Aracaju - SE",93,3,1,"
                  1
                ","
180000
"
"Coroa do Meio, Aracaju - SE",448,4,4,"
                  5
                ","
650000
"
"Rua Padre Nestor Sampaio, 704 - Luzia, Aracaju - SE",247,5,5,"
                  2
                ","
699000
"
"Rua Deputado Clóvis Rollemberg, 458 - Atalaia, Aracaju - SE",300,5,5,"
                  4
                ","
730000
"
"Rua Frei Luiz Canolo de Noronha - Ponto Novo, Aracaju - SE",340,3,2,"
                  2
                ","
350012
"
"Rua Antônio Andrade, 1288 - Coroa do Meio, Aracaju - SE",621,4,4,"
                  1
                ","
850000
"
"Avenida Santa Gleide, 320 - Olaria, Aracaju - SE",50,2,1,"
                  1
                ","
210000
"
"Rua Dezoito do Forte, 60 - Dezoito do Forte, Aracaju - SE",240,10,6,"
                  1
                ","
400000
"
"Rua da Concórdia, 10 - Atalaia, Aracaju - SE",365,3,5,"
                  4
                ","
1500000
"
"Avenida Antônio Severiano de Assis, 1 - Jabotiana, Aracaju - SE",200,2,1,"
                  2
                ","
290000
"
"Rua Praia de Atalaia - Aruana, Aracaju - SE",120,3,2,"
                  2
                ","
420000
"
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
480041
"
Nossa Senhora do Socorro - SE,60,2,2,"
                  1
                ","
140092
"
"Rua Niceu Dantas - Atalaia, Aracaju - SE",520,5,5,"
                  1
                ","
1100040
"
"Rua Maria do Carmo Batista Santos - Santa Maria, Aracaju - SE",57,2,2,"
                  1
                ","
164999
"
"Rua Tênisson Ribeiro, 265 - Salgado Filho, Aracaju - SE",350,4,5,"
                  5
                ","
950000
"
"Rua Professora Maria Terezinha Pinto Siqueira - Aruana, Aracaju - SE",250,3,3,"
                  1
                ","
330000
"
"Avenida Doutor José Calumby, 1003 - Suíssa, Aracaju - SE",120,5,3,"
                  2
                ","
480000
"
"Rua Oliveira Ribeiro, 266 - Santo Antônio, Aracaju - SE",350,5,5,"
                  3
                ","
650000
"
"Avenida Inácio Barbosa, 14698 - Zona de Expansao Mosqueiro, Aracaju - SE",220,3,3,"
                  4
                ","
590000
"
"Travessa Fonte Grande - Industrial, Aracaju - SE",68,1,1,"
                  --
                ","
115109
"
"Rua José de Melo, 36 - Dom Luciano, Aracaju - SE",100,2,1,"
                  1
                ","
115500
"
"Avenida Augusto Maynard, 138 - São José, Aracaju - SE",295,3,2,"
                  1
                ","
570000
"
"Rua Deputado Antônio Torres, 555 - Cirurgia, Aracaju - SE",231,2,1,"
                  2
                ","
350000
"
"Rua Isabel Dória Leite, 68 - Aeroporto, Aracaju - SE",300,4,2,"
                  2
                ","
300000
"
"Rua Professora Iria Sá dos Santos - Aeroporto, Aracaju - SE",90,3,2,"
                  3
                ","
330052
"
"Avenida José Vicente de Almeida, 150 - Aruana, Aracaju - SE",233,3,5,"
                  4
                ","
970011
"
"Rua Ribeirópolis, 1353 - Suíssa, Aracaju - SE",300,5,5,"
                  6
                ","
480000
"
"Avenida Melício Machado, 3700 - Atalaia, Aracaju - SE",250,3,3,"
                  2
                ","
790000
"
"Rua G, 201 - Aruana, Aracaju - SE",200,3,1,"
                  2
                ","
300000
"
"Rua Maria das Graças Menezes Moura, 46 - São Conrado, Aracaju - SE",160,4,2,"
                  1
                ","
350000
"
"Avenida Doutor Edelzio Vieira de Melo, 409 - Suíssa, Aracaju - SE",275,5,3,"
                  2
                ","
740000
"
"Rua Maria da Glória Cruz, 100 - Aruana, Aracaju - SE",205,3,4,"
                  3
                ","
400000
"
"Aruana, Aracaju - SE",180,2,2,"
                  2
                ","
250003
"
"Rua Sargento José Damasceno Filho - São Conrado, Aracaju - SE",300,5,5,"
                  2
                ","
460000
"
"Rua Francisco Rabelo Leite Neto, 1 - Atalaia, Aracaju - SE",840,6,2,"
                  6
                ","
1600000
"
"Santa Maria, Aracaju - SE",70,2,1,"
                  --
                ","
145000
"
"Rua Josafá Simões Mariu, 74 - Luzia, Aracaju - SE",235,4,3,"
                  3
                ","
600000
"
"Rua K, 72 - Aruana, Aracaju - SE",375,5,2,"
                  5
                ","
780000
"
"Rua Américo Curvelo, 00 - Salgado Filho, Aracaju - SE",129,3,2,"
                  1
                ","
340000
"
"Rua Moreira Guimarães - Dezoito do Forte, Aracaju - SE",180,4,2,"
                  2
                ","
310048
"
"Suíssa, Aracaju - SE",145,3,1,"
                  1
                ","
400000
"
"Santa Lúcia, São Cristóvão - SE",75,3,2,"
                  1
                ","
230000
"
"Rua Reginaldo Passos Pina, 313 - Inácio Barbosa, Aracaju - SE",318,4,3,"
                  3
                ","
930000
"
"Rua Marcolino Messias Ramos, 130-06 - Farolândia, Aracaju - SE",85,3,2,"
                  1
                ","
270000
"
"Avenida Inácio Barbosa - sao-jose-dos-naufragos, Aracaju - SE",1500,5,3,"
                  5
                ","
3500190
"
"Rua Seis, 0 - Soledade, Aracaju - SE",160,3,1,"
                  --
                ","
180000
"
"Rua Simeão Aguiar, 19 - José Conrado de Araújo, Aracaju - SE",270,3,2,"
                  4
                ","
399950
"
"Rua N, 103 - Aruana, Aracaju - SE",160,3,2,"
                  5
                ","
215000
"
"Avenida José Vicente de Almeida, 150 - Aruana, Aracaju - SE",195,3,3,"
                  2
                ","
879052
"
"Rua Poeta José Salles de Campos, 1779 - Coroa do Meio, Aracaju - SE",250,5,5,"
                  --
                ","
600000
"
"Rua Santo Agostinho - Farolândia, Aracaju - SE",180,3,3,"
                  2
                ","
380121
"
